TIC_ID|GDR2_ID|GDR2_RA|GDR2_DEC|TLC|mas_parrallax|g_mag|bp-rp|probability|age_myr|age_err_lower|age_err_upper|Distance|absolute_mag|cadences|tic_id_corrected|ecl_lat|ecl_lon|gal_lat|gal_lon
TIC_212955353|49520667981977344|64.899|21.7829|18|11.46|14.6|2.9|0.2|27.9|17.3|5.0|87.26003490000001|9.895923088256742|No TESS data found|17228269|0.34250929275136804|66.79675794752734|-19.824883711390257|174.03375364265733
TIC_16997096|6648834361774839040|271.4788|-57.0755|22|17.76|12.4|2.6|0.91|14.2|3.7|1.9|56.30630631|8.647214807070464|20,120,600,1800|118053599|-33.641174393137305|270.9615375887814|-16.695938682652177|336.73210997779483
TIC_52495497|2438313269639777408|352.5711|-8.6438|-1|21.47|12.9|2.8|0.18|26.6|33.8|9.2|46.57661854|9.55916022206442|20,60,120,1800|49734056|-4.993505819773896|349.75820834498387|-63.35743885220143|73.07187760536647
TIC_294313819|4330864843115985920|248.5264|-12.6418|-1|11.14|14.0|2.8|0.87|13.8|2.8|4.2|89.76660682|9.234425954243273|No TESS data found|414222815|9.229904329644002|248.7802296768022|22.95404413602738|3.9818104386598945
TIC_98687417|6210378403414176128|233.685|-28.0048|22|10.85|16.4|3.6|0.23|45.9|11.4|10.1|92.16589862|11.57714869086411|120,600|459350219|-8.500122593282015|238.0793520044056|22.36440881310363|341.5521538660673
TIC_24859730|2886233695250041216|91.2174|-34.5585|-1|15.4|11.1|3.4|0.51|32.6|5.9|7.2|64.93506494|7.037603604017283|20,120,600,1800|160329609|-57.98978757473878|91.88776422289385|-23.98907283101709|240.94212563619664
TIC_253776374|5839124831967651200|203.3757|-73.6937|22|10.04|16.0|3.6|1.0|15.2|3.2|3.9|99.60159363|11.008668563946852|1800|394908401|-56.74768209816324|241.96021813819618|-11.06689131189147|305.92503471485645
TIC_72506595|3485098646237003392|173.1715|-26.8657|22|21.61|11.2|2.5|1.0|6.8|3.0|1.9|46.27487274|7.873273834608598|120,600,1800|429152610|-27.18087376310208|185.3137891229492|32.782979573512556|281.9869597615776
TIC_176050598|5399220743767211264|170.3223|-34.7806|22|16.67|10.9|2.1|1.0|6.6|40.7|4.8|59.9880024|7.009677999122655|20,120,600,1800|57151431|-35.33010031430588|187.05288667430054|24.522529007964025|282.6879805188795
TIC_59890166|4062181103693026048|263.9475|-25.4934|22|10.92|15.6|3.3|0.55|25.7|6.7|8.5|91.57509158|10.7911131917272|No TESS data found|199187746|-2.1688700075385072|264.53089598358025|3.675992094029166|1.7656438630940492
